PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-07-19 07:57:52,2178304,1,1,Almoxarifado,"Microsoft Word - Despacho timbre - diretor (4)",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,894kb,
2017-07-19 08:39:00,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1824kb,
2017-07-19 08:48:37,2405883,1,1,Almoxarifado,"13898993000102_ConsutaOptantes.pdf",CAPAU-251006,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,773kb,
2017-07-19 08:48:40,2762200,1,1,Almoxarifado,"consultarSituacaoFornecedor.pdf",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1132kb,
2017-07-19 08:49:26,2405883,1,1,Almoxarifado,"certidao_13898993000102.pdf",CAPAU-251006,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1062kb,
2017-07-19 08:51:28,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,730kb,
2017-07-19 08:57:11,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,730kb,
2017-07-19 08:57:16,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,733kb,
2017-07-19 08:57:20,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,733kb,
2017-07-19 08:57:25,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,733kb,
2017-07-19 09:10:09,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1369kb,
2017-07-19 09:10:52,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,737kb,
2017-07-19 09:37:32,2762200,2,1,Almoxarifado,"[bb.com.br]",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1391kb,
2017-07-19 09:39:00,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,751kb,
2017-07-19 09:39:06,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,729kb,
2017-07-19 09:39:12,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,752kb,
2017-07-19 10:05:17,2762200,1,1,Almoxarifado,"Java Printing",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,740kb,
2017-07-19 10:08:41,2762200,2,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1774kb,
2017-07-19 10:15:24,2405883,1,1,Almoxarifado,"gerenciarInscricoes.xhtml",CAPAU-251006,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,907kb,
2017-07-19 10:34:17,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,784kb,
2017-07-19 10:34:29,2151655,1,1,Almoxarifado,"(anonymous)",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,946kb,
2017-07-19 10:49:50,2762200,3,1,Almoxarifado,"Histórico do Aluno - Enap - Escola Nacional de Administração Pública",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2166kb,
2017-07-19 10:55:58,2160484,1,1,Gabinete,"FORMULARIO EMAIL CONTA DOMINIO.pdf",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,937kb,
2017-07-19 10:56:37,2160484,1,1,Gabinete,"FORMULARIO EMAIL CONTA DOMINIO.pdf",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,937kb,
2017-07-19 11:13:06,2762200,1,1,Almoxarifado,"Relatórios 80 colunas - B",CAPAU-250995,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,964kb,
2017-07-19 11:30:49,2151655,1,1,Almoxarifado,"Histórico do Aluno - Enap - Escola Nacional de Administração Pública",CAPAU-251027,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,722kb,
2017-07-19 11:37:39,2178304,3,1,Almoxarifado,"Atualização de dados - Enap - Escola Nacional de Administração Pública",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,2144kb,
2017-07-19 11:46:54,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:47:40,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:48:18,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:48:36,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:48:53,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:49:18,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:49:37,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:50:05,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:50:43,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:51:08,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 11:54:54,2178394,1,1,Biblioteca,"http://consulta.tesouro.fazenda.gov.br/gru_novosite/gerarHTML.asp",CAPAU-111257,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1370kb,
2017-07-19 14:17:34,2152058,1,17,Pedagogico,"Microsoft Word - Avaliação 3º Ano de Informática Recuperação 1º Bimestre",CAPAU-251018,A4,ZJSTREAM,,,NOT DUPLEX,GRAYSCALE,81kb,
2017-07-19 14:21:48,2152058,1,17,Pedagogico,"Microsoft Word - Avaliação 3º Ano de Informática Recuperação 1º Bimestre",CAPAU-251018,A4,ZJSTREAM,,,NOT DUPLEX,GRAYSCALE,52kb,
