PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2017-06-06 09:58:56,2160484,1,1,DAP,"2",CAPAU-251024,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,450kb,
2017-06-06 15:57:17,2160484,2,1,Saude,"- EDITAL N 31-2017 REdistribuio TAS e DOCENTES - modificado.pdf",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1721kb,
2017-06-06 15:57:33,2160484,1,1,Saude,"Microsoft Word - Requerimento de redistribuição",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1043kb,
2017-06-06 16:00:02,2160484,1,1,Almoxarifado,"Microsoft Word - Requerimento de redistribuição",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1043kb,
2017-06-13 17:10:43,Convidado,1,1,Saude,"Comprovante de deposit.pdf",192.168.6.6,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,648kb,
2017-06-23 11:04:30,2160484,2,1,Almoxarifado,"S:\MEMORANDOS\2017\Memorando 04_CTI_2017 Alteração de Férias.doc",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,1595kb,
2017-06-27 16:45:14,2178304,1,1,DAP,"Microsoft Word - FRONTIER",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,37kb,
2017-06-28 10:08:40,2151590,2,1,DAP,"Impressora 3270 - B",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,298kb,
2017-06-28 10:08:49,2151590,1,1,DAP,"Impressora 3270 - B",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,199kb,
2017-06-28 10:11:03,2151590,1,1,Almoxarifado,"JasperReports - 02066433306-IRPF-2017-2016-origi-imagem-declaracao.pdf",CAPAU-251010,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,613kb,
2017-06-28 10:23:15,2000524,1,1,DAP,"Microsoft Word - Capa Para Enviar Via Sedex",CAPAU-251021,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,51kb,
2017-06-28 15:28:04,2178304,1,1,DAP,"Microsoft Word - OFÍCIO Nº 57",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,164kb,
2017-06-28 17:06:49,2264079,1,1,DAP,"Microsoft Word - Documento1",CAPAU-250998,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,49kb,
2017-06-29 09:38:28,2178304,1,1,DAP,"Folhaderedaosemmarcadgua",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,50kb,
2017-06-29 13:40:51,2178304,1,1,Almoxarifado,"ACFrOgD4AHkxewhf6d_-sIvoBaPcNHQQDJz7pm_OIA3wWmmf7sy6py0oZuFUtHzIYDDYrqR4DeL_gIkUckkSW1YWIM-RwUjpDicLEhCPhil54DBDQeyIncozdZdFkgY=",CAPAU-251028,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,699kb,
2017-06-29 14:09:01,2178304,1,3,DAP,"Folhaderedaosemmarcadgua",CAPAU-251028,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,50kb,
2017-06-29 15:50:59,2000524,7,1,DAP,"Microsoft Word - Atividade[1]",CAPAU-251021,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,1615kb,
2017-06-29 16:55:02,2257309,1,1,Almoxarifado,"Microsoft Word - Documento2",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,633kb,
2017-06-29 16:56:28,2257309,1,1,Almoxarifado,"Microsoft Word - Documento2",CAPAU-251000,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,655kb,
2017-06-30 08:49:01,2151590,2,1,DAP,"Microsoft Word - Requerimento SEFAZ PNAE",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,342kb,
2017-06-30 08:58:19,2151590,1,1,DAP,"Microsoft Word - Despacho timbre",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,73kb,
2017-06-30 08:59:20,2151590,1,1,DAP,"Microsoft Word - Despacho timbre",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,72kb,
