PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2016-06-23 15:15:47,Administrador,1,1,Brother-DAP,"Microsoft Word - ARQUIVO TESTE.docx",CAPAU-251024,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-23 15:23:16,Administrador,1,1,Brother-DAP,"PaperCut Print Logger _ Print Logs - 23 junho 2016.pdf",CAPAU-251024,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,86kb,
2016-06-29 17:06:32,Administrador,1,1,Brother-DAP,"Microsoft Word - Documento1",[fe80::b58f:a49f:5a8c:3a18],A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-29 17:07:14,Administrador,1,1,Brother-DAP,"Página de teste",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,241kb,
2016-06-29 17:13:14,Administrador,1,1,Brother-DAP,"Página de teste",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,241kb,
2016-06-29 17:14:59,Administrador,1,3,Brother-DAP,"Sem título1",CAPAU-251010,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-29 18:10:38,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,75kb,
2016-06-29 18:10:54,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-06-29 18:10:59,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-06-29 18:11:04,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-06-29 18:13:46,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,115kb,
2016-06-29 18:13:48,Administrador,1,1,Brother-DAP,"Java Printing",CAPAU-251010,,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,115kb,
2016-06-30 09:23:49,Administrador,1,1,Setor Saúde,"Microsoft Word - Documento1",[fe80::bd4b:fcd:d2b4:7102],,PDF,,,NOT DUPLEX,NOT GRAYSCALE,562kb,
2016-06-30 09:24:28,Administrador,1,1,Setor Saúde,"Microsoft Word - Documento1",[fe80::bd4b:fcd:d2b4:7102],,PDF,,,NOT DUPLEX,NOT GRAYSCALE,562kb,
2016-06-30 09:52:52,Convidado,1,1,Coord Pedagogica,"Microsoft Word - Documento1",[fe80::bd4b:fcd:d2b4:7102],A4,ZJSTREAM,,,NOT DUPLEX,GRAYSCALE,1kb,
2016-06-30 09:54:14,Convidado,1,1,Coord Pedagogica,"Microsoft Word - Documento1",[fe80::bd4b:fcd:d2b4:7102],A4,ZJSTREAM,,,NOT DUPLEX,GRAYSCALE,1kb,
2016-06-30 10:03:48,Convidado,1,1,Coord Pedagogica,"Microsoft Word - Documento1",[fe80::7d4b:ab86:c915:b705],A4,ZJSTREAM,,,NOT DUPLEX,GRAYSCALE,1kb,
2016-06-30 10:31:10,Convidado,1,1,Brother-DAP,"Microsoft Word - Documento1",[fe80::e1f5:1adb:e4bd:414e],A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-30 10:34:25,Convidado,1,1,Brother-DAP,"Microsoft Word - Documento1",[fe80::e1f5:1adb:e4bd:414e],A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,7kb,
2016-06-30 10:35:22,Convidado,1,1,Setor Saúde,"Microsoft Word - Documento1",[fe80::e1f5:1adb:e4bd:414e],,PDF,,,NOT DUPLEX,NOT GRAYSCALE,562kb,
2016-06-30 11:42:33,Convidado,1,1,Brother-DAP,"boletim_fevereiro_16.pdf",[fe80::b58f:a49f:5a8c:3a18],A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,224kb,
2016-06-30 14:04:47,Administrador,1,1,Setor Saúde,"Microsoft Word - Documento1",CAPAU-251024,,PDF,,,NOT DUPLEX,NOT GRAYSCALE,562kb,
2016-06-30 14:30:11,Convidado,1,1,Brother-DAP,"boletoGRU (2).pdf",CAPAU-251015,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,189kb,
2016-06-30 14:30:20,Convidado,1,1,Brother-DAP,"documento(1).pdf",CAPAU-251015,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,69kb,
2016-06-30 16:39:25,Convidado,1,1,Brother-DAP,"Microsoft Word - Memorando - Compensação de carga horária",CAPAU-251015,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,134kb,
2016-06-30 16:41:15,Convidado,1,1,Brother-DAP,"Microsoft Word - Memorando - Compensação de carga horária",CAPAU-251015,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,134kb,
2016-06-30 16:48:30,Convidado,2,1,Brother-DAP,"MEMORANDO 03-CTI-2016.pdf",CAPAU-251015,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,213kb,
2016-07-01 13:57:59,Convidado,2,1,Brother-DAP,"Microsoft Word - Documento1",CAPAU-251024,A4,PCL5,,,NOT DUPLEX,NOT GRAYSCALE,15kb,
2016-07-01 14:02:38,Convidado,4,1,Brother-DAP,"Microsoft Word - Documento1",CAPAU-251024,A4,PCL5,,,DUPLEX,NOT GRAYSCALE,29kb,
